id,username,text,likes,retweets,replies,total_interactions,post_date_iso,text_length,word_count,sentiment_label,link,hashtag,date,content,interactions
793.0,Marek21694000,DziadekKlozetowy @Marek21694000 1m Replying to @WiolaPaprocka @trzaskowski_,0,0,0,0.0,"Jun 3, 2025 · 5:03 PM UTC",75.0,7.0,,,,,,
796.0,mwiatrowski62,No właśnie chodzi o to PRAWIE za to większość wybrala Prezydenta Karola Nawrockiego.,0,0,0,0.0,"Jun 3, 2025 · 5:05 PM UTC",84.0,13.0,,,,,,
797.0,Kasandra6558,"Sorry. Z jakiego powodu ta szczegółowa informacja była tajemnicą poliszynela? Gdyby była w taki sposob właśnie upubliczniona przed wyborami, to Trzaskowski by wygrał tj. Polska by wygrała. To jest skandal,to trzeba rozliczyc",0,0,0,0.0,"Jun 3, 2025 · 5:05 PM UTC",224.0,32.0,,,,,,
800.0,zDoskoku8,"Pani @WiolaPaprocka przegrała Pani bardzo ale to bardzo ważny mecz. Nie słuchaliście nas. A jeżeli prawda jest, że nie mieliście specjalistów odpowiedniej klasy w sztabie, to dyskwalifikuje Panią z takiej funkcji na przyszłość. Jestem na Panią zła. Zwyczajnie zła.",0,27,3,30.0,"Jun 3, 2025 · 7:51 AM UTC",264.0,39.0,,,,,,
801.0,CrusaderPawel,Trzaskowski zdjęcie z pedofilem,0,0,0,0.0,"Jun 3, 2025 · 5:05 PM UTC",31.0,4.0,,,,,,
802.0,Fastinfoo,Sprawdziliśmy wyniki z zagranicy i na dostępne obecnie wyniki Rafał Trzaskowski wygrywa w 37/39 krajów Przegrywa jedynie w USA i Kanadzie #Wybory2025,137,211,105,453.0,"Jun 1, 2025 · 7:21 PM UTC",149.0,22.0,,,,,,
827.0,KocurekBozena,Bożena Kocurek @KocurekBozena 1m Replying to @WiolaPaprocka @trzaskowski_ GIF,0,0,0,0.0,"Jun 3, 2025 · 5:04 PM UTC",77.0,9.0,,,,,,
830.0,natooooo2,"Il est bien de l’extrême droite, il n’y a pas plus extrême droite que PiS et Konfederacja. PO donc le candidat Trzaskowski était de gauche",0,0,0,0.0,"Jun 3, 2025 · 5:05 PM UTC",138.0,25.0,,,,,,
831.0,ArturStelmasiak,"Robił też konferencje codziennie otwarte dla wszystkich mediów, a sztab Trzaskowskiego robił je rzadko, a na spotkania nie wpuszczał @RepublikaTV i @wPolscepl. Nawrocki ma więc sporo relacji w lokalnych mediach, a Trzaskowski ma znacznie mniej.",0,0,0,0.0,"Jun 3, 2025 · 5:05 PM UTC",244.0,35.0,,,,,,
832.0,EarthyOuds,Would you trade in Jae-Myung for Trzaskowski?,0,1,1,2.0,"Jun 3, 2025 · 4:48 PM UTC",45.0,7.0,,,,,,
862.0,heretyczka_,"Coś we mnie pękło po tych wyborach. Tu nie chodzi o to, że wygrał ktoś przeciwny moim poglądom. Chodzi o to, że ludzie tłumnie zagłosowali na bandytę z szemraną przeszłością na głowę państwa. Wygrała demokracja, przegrała zwykła przyzwoitość i uczciwość. Tylko Polski szkoda.",4,192,211,407.0,"Jun 3, 2025 · 7:25 AM UTC",275.0,43.0,,,,,,
863.0,karol_karolix,Zarobiłeś tak jak Trzaskowski,0,0,0,0.0,"Jun 3, 2025 · 5:05 PM UTC",29.0,4.0,,,,,,
865.0,OnlyViewerOnly,Ani świetny tylko dramatyczny leń. Podczas kampanii wyglądał jak nieżywy bo musiał w końcu się ruszyc. Uczciwy? Udowodnij xd Na jakiej podstawie? Chłop zrobił helikopter ze swoich poglądów. Dobry człowiek. W polityce wszyscy są dobrzy c'nie?,0,0,0,0.0,"Jun 3, 2025 · 5:05 PM UTC",241.0,36.0,,,,,,
866.0,MarcoRossoner,Popatrz co się stało z karierą Millera jak przestał być premierem i masz odpowiedź,0,0,0,0.0,"Jun 3, 2025 · 5:05 PM UTC",82.0,14.0,,,,,,
893.0,badpixel3,Ja bedziesz chciała kilka porad jak z tak miałkiego kandydata zrobić prezydenta to daj znać. To było do wygrania.,0,0,0,0.0,"Jun 3, 2025 · 5:05 PM UTC",113.0,19.0,,,,,,
