id,username,text,likes,retweets,replies,total_interactions,post_date_iso,text_length,word_count,sentiment_label
294,Inevitablewest,BREAKING: New Polish President Karol Nawrocki demands Ursula & the EU respects European nations sovereignty and Christian values Poland is leading from the front.,273,9824,730,10827,"Jun 3, 2025 · 11:57 AM UTC",162,24,
295,PrawaStronaa,"Karol Nawrocki przygotowuje pozwy dla ludzi którzy publicznie w kampanii nazywali go ""gangusem"" i ""sutenerem""",28,570,327,925,"Jun 4, 2025 · 2:47 PM UTC",109,15,
296,wiihol,"Karol Nawrocki wygrał wybory prezydenckie mimo kampanii nienawiści, rozkręconej na niebywałą skalę w III RP, ataków mediów, wykorzystania służb specjalnych i w większości niekorzystnych sondaży.niezalezna.pl/opinie/i-po-bi…",0,3,1,4,"Jun 3, 2025 · 5:16 PM UTC",223,25,
297,albinkurti,"Congratulations to Karol Nawrocki @NawrockiKn on his election as Poland’s next President. During my visits to , I’ve seen the country’s steady progress and growing role in Europe. I look forward to continuing to strengthen the relations between Kosova and Poland.",0,0,0,0,"Jun 4, 2025 · 6:57 PM UTC",263,41,
298,MarioAwario,Wiecie dlaczego #Rumunia i #Rumuni wygrali z czopkiem Putina? Bo media się nie ugięły Zaprosiły na debaty na swoich zasadach Simon uciekał jak Nawrocki z 4 debat? Ale tam debaty dochodziły do skutku tylko zostawało puste krzesło🪑! Przestańcie się cackac z PiS owcami! #Media,3,206,19,228,"May 20, 2025 · 10:10 AM UTC",274,44,
299,JimFergusonUK,BREAKING: NEW POLISH PRESIDENT CONFRONTS EU OVER SOVEREIGNTY & VALUES President Karol Nawrocki has issued a bold call for Brussels to respect the sovereignty of European nations and uphold Christian values. “Poland will not be dictated to. We will defend our traditions and our right to self-determination.” WHAT THIS MEANS: Poland is signaling a major shift in tone toward the EU Sovereignty and identity are back at the center of European politics Nawrocki is positioning Poland as a voice for cultural conservatism and national rights A new chapter begins — and Poland is stepping forward to lead it.,207,5079,575,5861,"Jun 3, 2025 · 1:14 PM UTC",603,98,
300,jachcy,Karol Nawrocki będzie mial immunitet⁉ To może chociaż rozliczmy jego żonę🤡,3,37,32,72,"Jun 4, 2025 · 6:49 PM UTC",74,11,
301,Amabelinka,"Będzie innym prezydentem niż Duda. Nawrocki będzie mieć łatwiej bo wie jak podła była polskojęzyczna hołota wobec prezydenta RP. Np najazd na pałac prezydencki podczas gdy prezydent był w Belwederze i jednoczesne zablokowanie wyjazdu stamtąd przez ""zepsuty bus"". Wymiana kretów!",0,0,0,0,"Jun 4, 2025 · 6:57 PM UTC",278,40,
302,UpdateNews724,"BREAKING: The new President of Poland, Karol Nawrocki, called on the European Union to respect the sovereignty of European nations and Christian values.",87,2375,289,2751,"Jun 3, 2025 · 2:52 PM UTC",152,23,
303,tomalxbr,"Le nouveau président polonais, Karol Nawrocki, a appelé l'Union européenne à respecter la souveraineté des nations européennes et les valeurs chrétiennes.",5,151,14,170,"Jun 4, 2025 · 12:35 PM UTC",154,21,
304,Zosia99363505,"Czy to zmuszanie nas do Kłamstwa? Mamy udawać, że Nawrocki, to porządny i przyzwoity gość? Za Oszusta, Lichwiarza, Złodzieja naszej kasy - za De Lux i Kawalerkę w Warszawie, Kibola i Ćpuna, pozwów nie będzie więc mamy sporo możliwości Przy Dudzie, był tylko Debil, skromnie",0,9,7,16,"Jun 4, 2025 · 6:13 PM UTC",273,45,
305,UpdateNews724,"BREAKING NEWS: Poland’s new President Nawrocki’s call after being elected: ""We will Make Europe Great Again, because Europe deserves it!""",17,724,112,853,"Jun 3, 2025 · 6:04 PM UTC",137,20,
306,robyfrancy94,"Considerando che la vittoria di #Nawrocki che eserciterà il veto sbarrandogli le riforme liberal e giudiziarie, è possibile che il voto di fiducia richiesto da #Tusk (cf.nitter.net/robyfrancy94/status/19…) preluda a elezioni anticipate per non farsi cucinare lentamente al governo?",0,0,0,0,"Jun 4, 2025 · 6:57 PM UTC",281,38,
307,ElaPabisiak,"„Spokojnie, bez paniki…Już po północy( albo trochę później) prezydentem będzie Karol Nawrocki !!!",0,0,0,0,"Jun 4, 2025 · 6:57 PM UTC",97,13,
308,HubnerrMax,"Czegoś takiego jeszcze nie było! Prezydent Elekt Karol Nawrocki dostał mnóstwo gratulacji od zagranicznych przywódców na X, a my mielismy zaszczyt obserwować jego odpowiedzi. Doskonałe, inteligentne i wskazujące na twardy kierunek polityki zagranicznej. Zapraszam na nitkę.",7,178,13,198,"Jun 4, 2025 · 4:35 PM UTC",273,36,
309,Load newest,Brak treści,0,0,0,0,,11,2,
310,VirginiePerez15,"🫶Donald Trump félicite le peuple polonais sur Social Truth suite à la victoire du candidat pro-Trump Karol Nawrocki Un message écrit en lettres capitales sur Truth ""UN ALLIÉ DE TRUMP GAGNE EN POLOGNE, TOUTE L'EUROPE EST SOUS LE CHOC. C'est une immense nouvelle! Félicitations à la Pologne, vous avez choisi un GAGNANT !""",1,53,9,63,"Jun 3, 2025 · 7:35 PM UTC",320,53,
311,HubnerrMax,"Czegoś takiego jeszcze nie było! Prezydent Elekt Karol Nawrocki dostał mnóstwo gratulacji od zagranicznych przywódców na X, a my mielismy zaszczyt obserwować jego odpowiedzi. Doskonałe, inteligentne i wskazujące na twardy kierunek polityki zagranicznej. Zapraszam na nitkę.",7,180,13,200,"Jun 4, 2025 · 4:35 PM UTC",273,36,
312,PierreMarionnet,"Karol Nawrocki, le nouveau président polonais, exige qu'Ursula et l'UE respectent la souveraineté des nations européennes et les valeurs chrétiennes. Bravo. Ca part fort !",64,2667,204,2935,"Jun 3, 2025 · 6:10 PM UTC",171,25,
313,jachcy,Karol Nawrocki będzie mial immunitet⁉ To może chociaż rozliczmy jego żonę🤡,3,38,32,73,"Jun 4, 2025 · 6:49 PM UTC",74,11,
314,OOUncoolOO,"Może Nawrocki jest alfonsem, ale to na Trzaskowskiego głosowały głównie kurwy.",0,0,0,0,"Jun 4, 2025 · 6:57 PM UTC",78,11,
315,Piotr20038489,Możesz być dumna z mamy bo i tobie zaszczepiła prawdziwe wartości.Pozdowienia dla mamusi,0,0,0,0,"Jun 4, 2025 · 6:57 PM UTC",88,13,
316,PrawaStronaa,"Karol Nawrocki przygotowuje pozwy dla ludzi którzy publicznie w kampanii nazywali go ""gangusem"" i ""sutenerem""",28,570,327,925,"Jun 4, 2025 · 2:47 PM UTC",109,15,
317,KoneserUnii,PILNE Prezydent Elekt Nawrocki będzie pozywał tych co Go nazywali Sutenerem,12,382,255,649,"Jun 4, 2025 · 3:59 PM UTC",75,11,
318,KamraciRodacy,Ponad 200 tysięcy nadmiarowych zgonów wzięło się z procedur depopulacyjnych gorliwie wprowadzanych w życie przez PiS. PiSowcy z premedytacją mordowali Polaków. W stręczeniu preparatów depopulacyjnych brał udział również Karol Nawrocki.,0,30,8,38,"Jun 4, 2025 · 6:23 AM UTC",235,30,
319,MurzynfrogXXX,Karol Nawrocki zyskuje w moich oczach. KęKę GOAT.,9,140,78,227,"Jun 4, 2025 · 2:41 PM UTC",49,8,
320,Bob57PL,"Bzdury opowiadasz. Media nie podały żadnych danych wrażliwych podopiecznego, zrobił to sam Nawrocki oraz Czarnek. Opiekunka opowiedziała o okolicznościach potencjalnego przestępstwa, ta sprawa powinna rozstrzygnąć się w prokuraturze!",0,8,3,11,"Jun 4, 2025 · 6:20 PM UTC",233,28,
321,tomalxbr,"Le nouveau président polonais, Karol Nawrocki, a appelé l'Union européenne à respecter la souveraineté des nations européennes et les valeurs chrétiennes.",5,151,14,170,"Jun 4, 2025 · 12:35 PM UTC",154,21,
322,HubnerrMax,"Czegoś takiego jeszcze nie było! Prezydent Elekt Karol Nawrocki dostał mnóstwo gratulacji od zagranicznych przywódców na X, a my mielismy zaszczyt obserwować jego odpowiedzi. Doskonałe, inteligentne i wskazujące na twardy kierunek polityki zagranicznej. Zapraszam na nitkę.",7,181,13,201,"Jun 4, 2025 · 4:35 PM UTC",273,36,
323,albinkurti,"Congratulations to Karol Nawrocki @NawrockiKn on his election as Poland’s next President. During my visits to , I’ve seen the country’s steady progress and growing role in Europe. I look forward to continuing to strengthen the relations between Kosova and Poland.",0,1,0,1,"Jun 4, 2025 · 6:57 PM UTC",263,41,
324,KoneserUnii,PILNE Prezydent Elekt Nawrocki będzie pozywał tych co Go nazywali Sutenerem,12,382,255,649,"Jun 4, 2025 · 3:59 PM UTC",75,11,
325,PierreMarionnet,"Karol Nawrocki, le nouveau président polonais, exige qu'Ursula et l'UE respectent la souveraineté des nations européennes et les valeurs chrétiennes. Bravo. Ca part fort !",64,2667,204,2935,"Jun 3, 2025 · 6:10 PM UTC",171,25,
326,Inevitablewest,BREAKING: New Polish President Karol Nawrocki demands Ursula & the EU respects European nations sovereignty and Christian values Poland is leading from the front.,273,9824,730,10827,"Jun 3, 2025 · 11:57 AM UTC",162,24,
327,PrawaStronaa,"Karol Nawrocki przygotowuje pozwy dla ludzi którzy publicznie w kampanii nazywali go ""gangusem"" i ""sutenerem""",28,570,327,925,"Jun 4, 2025 · 2:47 PM UTC",109,15,
328,wiihol,"Karol Nawrocki wygrał wybory prezydenckie mimo kampanii nienawiści, rozkręconej na niebywałą skalę w III RP, ataków mediów, wykorzystania służb specjalnych i w większości niekorzystnych sondaży.niezalezna.pl/opinie/i-po-bi…",0,3,1,4,"Jun 3, 2025 · 5:16 PM UTC",223,25,
329,MarioAwario,Wiecie dlaczego #Rumunia i #Rumuni wygrali z czopkiem Putina? Bo media się nie ugięły Zaprosiły na debaty na swoich zasadach Simon uciekał jak Nawrocki z 4 debat? Ale tam debaty dochodziły do skutku tylko zostawało puste krzesło🪑! Przestańcie się cackac z PiS owcami! #Media,3,206,19,228,"May 20, 2025 · 10:10 AM UTC",274,44,
330,JimFergusonUK,BREAKING: NEW POLISH PRESIDENT CONFRONTS EU OVER SOVEREIGNTY & VALUES President Karol Nawrocki has issued a bold call for Brussels to respect the sovereignty of European nations and uphold Christian values. “Poland will not be dictated to. We will defend our traditions and our right to self-determination.” WHAT THIS MEANS: Poland is signaling a major shift in tone toward the EU Sovereignty and identity are back at the center of European politics Nawrocki is positioning Poland as a voice for cultural conservatism and national rights A new chapter begins — and Poland is stepping forward to lead it.,207,5079,575,5861,"Jun 3, 2025 · 1:14 PM UTC",603,98,
331,jachcy,Karol Nawrocki będzie mial immunitet⁉ To może chociaż rozliczmy jego żonę🤡,3,38,33,74,"Jun 4, 2025 · 6:49 PM UTC",74,11,
332,Amabelinka,"Będzie innym prezydentem niż Duda. Nawrocki będzie mieć łatwiej bo wie jak podła była polskojęzyczna hołota wobec prezydenta RP. Np najazd na pałac prezydencki podczas gdy prezydent był w Belwederze i jednoczesne zablokowanie wyjazdu stamtąd przez ""zepsuty bus"". Wymiana kretów!",0,0,0,0,"Jun 4, 2025 · 6:57 PM UTC",278,40,
333,Load newest,Brak treści,0,0,0,0,,11,2,
