id,username,text,likes,retweets,replies,total_interactions,post_date_iso,text_length,word_count,sentiment_label,link,fullname,quotes,date,hashtag,content,interactions
19.0,Poldxb,KO15 zasłania się wadami PKW to co by zrobił PIS gdyby sytuacja była na odwrót???? Tym razem jak nic nie zrobicie w tej sprawie to obawiam się że ludzie już nie pójdą głosować bo to nie ma sensu. Nie ma już wytłumaczenia że wy nic nie możecie że taki jest system itd itd.,0,0,0,0.0,10-06-25,271.0,53.0,,https://nitter.net/Poldxb/status/1932327544398757956#m,,,,,,
20.0,Aneta850053,"i co z tym zrobicie????? wydaje się, ze jesteście kompletnie bezradni. A konfa ma juz 20%. Gratuluje Wam i płacze nad nami",0,0,1,1.0,10-06-25,122.0,22.0,,https://nitter.net/Aneta850053/status/1932319547995955284#m,,,,,,
21.0,Sahaja12450182,Zróbcie coś z PKW. Pis by zrobił w ciągu 3 dni. POLACY ZASŁUGUJĄ NA PRAWDZIWY WYNIK WYBORÓW. NAWET JEŚLI TO NIE ZMIENI SYTUACJI. NIE JESTEŚMY WSCHODEM!,0,1,0,1.0,10-06-25,151.0,26.0,,https://nitter.net/Sahaja12450182/status/1932320014725533902#m,,,,,,
22.0,PaczynskiMarek,"nie chcą liczyć bo dobrze wiedzą , że Trzaskowski ma 25% mniej głosów. Kompromitacja będzie jeszcze większa.",0,0,0,0.0,10-06-25,108.0,17.0,,https://nitter.net/PaczynskiMarek/status/1932390232378511712#m,,,,,,
23.0,annachezmoi1,Asia#Trzaskowski 2025 retweeted anna chez moi 🍀 🇪🇺 📿 @annachezmoi1 3h Replying to @Arlukowicz 5,0,0,0,0.0,10-06-25,95.0,15.0,,https://nitter.net/annachezmoi1/status/1932337556479217694#m,,,,,,
24.0,JustiStaszak,"Panie pośle Wy rządzicie, a instytucje są nadal pisowskie. To oni mają władzę nie Wy. Na Was, dziennikarzy i redaktorów mają haki. Pegazus zrobił swoje. Demokracja umiera na Waszych oczach. Wybory pokazały nam jasno, że nasz głos nie jest ważny. Tylko kto liczy i jak go wpisze.",0,0,0,0.0,10-06-25,278.0,47.0,,https://nitter.net/JustiStaszak/status/1932322024279486728#m,,,,,,
25.0,PiotrD102,"Dobrze, że wasz minister Siemoniak dobrze zabezpieczył wybory! Co by było gdyby dał dupy?! Aaaa, nie! On przecież pracuje dla Kaczyńskiego, zatem tak miało być.",0,1,0,1.0,10-06-25,160.0,25.0,,https://nitter.net/PiotrD102/status/1932339294552649918#m,,,,,,
26.0,_Gradiel,"Iść przykładem Estonii - głosowanie przez internet. Łatwiej zabezpieczyć systemy informatyczne niż liczyć na uczciwość ludzi w komisjach wyborczych. To trzeba wprowadzić w życie przed następnymi wyborami. Mało czasu, ale realne do zrobienia.",0,0,0,0.0,10-06-25,241.0,33.0,,https://nitter.net/_Gradiel/status/1932321558103519317#m,,,,,,
27.0,A_Falandowicz,"Z liczeniem 1 czerwca bardzo im się spieszyło, by jak najprędzej zamknąć temat. Wystarczyła jedna noc. Wszystko jest do sprawdzenia. Wierzyć się nie chce, burdeloza totalna. Nie ma tu mowy o jakiejkolwiek demokracji, ponad 10 mln. wyborców to nic. Pokazano nam środkowy palec",0,1,0,1.0,10-06-25,275.0,43.0,,https://nitter.net/A_Falandowicz/status/1932354550251348170#m,,,,,,
28.0,GalakNowotko,"Mam tak samo. Co zrobię, nie wiem.",0,0,0,0.0,10-06-25,34.0,7.0,,https://nitter.net/GalakNowotko/status/1932390096189243432#m,,,,,,
